CID,Name,n_maps,selected_idx,removed_indices,coverage_frac,range,mean_active,std_active,composite_score,score_diff,close_call,z_coverage,z_range,z_mean
7792,"3,7-dimethyloctan-1-ol",1,0,,0.3052693553135119,6.211,0.5253692864030858,0.43928083291018744,0.0,,False,,,
7795,isoamyl butyrate,1,0,,0.29526052399175745,7.2789,0.6614614157527418,0.5716288536086643,0.0,,False,,,
7797,ethyl heptanoate,2,1,0,0.29025610833088017,6.4426,0.585079817444219,0.479755962504044,1.7677669529663687,3.5355339059327373,False,0.7071067811865475,0.7071067811865475,-0.7071067811865476
7799,ethyl caprylate,1,0,,0.28584044745363557,7.0861,0.6520073120494336,0.4829342158582646,0.0,,False,,,
7802,3-heptanone,1,0,,0.25434206652929053,5.23,0.8509680555555555,0.6807123867976383,0.0,,False,,,
7803,propyl propionate,1,0,,0.2493376508684133,7.2569,0.8769485242030697,0.6926739719035238,0.0,,False,,,
7809,p-xylene,1,0,,0.28996173093906386,7.255,0.6133910558375635,0.5311000443652528,0.0,,False,,,
7824,methyl caproate,1,0,,0.28054165440094203,7.527900000000001,0.6814699895068205,0.5090056964881607,0.0,,False,,,
7826,methyl heptanoate,1,0,,0.27583161613188106,6.38,0.7366275346851654,0.5805156716640854,0.0,,False,,,
7895,2-pentanone,1,0,,0.2664115395937592,7.688599999999999,0.7881924861878453,0.6730994212796264,0.0,,False,,,
7929,m-xylene,1,0,,0.29879305269355316,8.943999999999999,0.6299853004926108,0.5499901521318837,0.0,,False,,,
7938,"2,6-dimethylpyrazine",1,0,,0.28171916396820723,6.458,0.7117773981191224,0.6081174556402396,0.0,,False,,,
7943,dimethyl malonate,1,0,,0.3229319988224904,8.1205,0.5404482224247948,0.47115621833688537,0.0,,False,,,
7947,mesitylene,2,0,1,0.31439505445981747,7.261,0.6853951310861423,0.5739575513151535,0.35355339059326113,0.7071067811865475,False,0.7071067811865142,-0.7071067811865472,-0.7071067811865884
7967,cyclohexanone,1,0,,0.2587577274065352,6.2989999999999995,0.8853855517633674,0.6556725052818688,0.0,,False,,,
7991,valeric acid,11,9,"0,1,2,3,4,5,6,7,8,10",0.32881954665881663,10.339300000000001,0.47442050134288266,0.4991425989731652,3.0703672864016873,0.1619875639041628,True,1.4082717795535158,1.0136351604687919,-1.2969206927587589
7997,propyl acetate,1,0,,0.2249043273476597,9.1597,0.8472369109947644,0.8174217507894909,0.0,,False,,,
8034,5-methyl-2-hexanone,1,0,,0.2699440682955549,5.59,0.8409051254089422,0.6696288370727317,0.0,,False,,,
8035,"2,5-hexanedione",1,0,,0.3008536944362673,6.928,0.6639664187866927,0.5832938712072652,0.0,,False,,,
8051,2-heptanone,2,0,1,0.2826022961436562,6.3926,0.7147372916666667,0.5291579450773637,1.7677669529663715,3.5355339059327378,False,0.7071067811865499,0.7071067811865479,-0.7071067811865476
8058,hexane,1,0,,0.3199882249043273,6.3146,0.6363247470101197,0.47955213733593566,0.0,,False,,,
8060,pentylamine,1,0,,0.31410067706800116,6.24,0.6227164104967198,0.5285413071884295,0.0,,False,,,
8063,pentanal,5,4,"0,1,2,3",0.3294083014424492,10.183399999999999,0.5411646112600537,0.5156049367780078,2.75046847357452,1.4553525065805917,False,1.3057010504170121,1.000451834543618,-0.8886311772277798
8067,pentanethiol,1,0,,0.33735649102148957,7.742000000000001,0.5801253315881327,0.4998762911831478,0.0,,False,,,
8091,methyl octanoate,1,0,,0.28848984397998234,6.156000000000001,0.6924233979591836,0.6073838745105887,0.0,,False,,,
8092,methyl 2-octynoate,1,0,,0.27671474830733,7.247999999999999,0.7692092127659574,0.6457182680555483,0.0,,False,,,
8093,2-octanone,5,3,"0,1,2,4",0.30909626140712393,6.6539,0.687418,0.5383097238312141,1.5917673563278667,0.3432154203079616,True,0.48011540150869025,1.0549307284941567,-0.1134424526500393
8103,1-hexanol,3,0,"1,2",0.33323520753606123,11.754100000000001,0.4900886925795054,0.481138393635074,2.6928711696188343,3.164297285688858,False,1.0768124051411339,1.0497851621401855,-1.1325472046750302
8118,dipropylsulfide,2,0,1,0.3199882249043273,5.498,0.5721155105795768,0.4698175041214675,0.35355339059327395,0.7071067811865475,False,0.7071067811865485,-0.707106781186548,-0.707106781186547
8125,1-octene,1,0,,0.3232263762143067,5.409,0.659541548269581,0.44888851599169255,0.0,,False,,,
8129,1-heptanol,3,1,"0,2",0.31086252575802176,7.08,0.6345549242424242,0.5495883366542251,2.263401748475678,2.7015739715171283,False,1.1333843958118437,0.5527203585213661,-1.1545939882849363
8130,heptanal,2,1,0,0.29025610833088017,4.52,0.7717241379310344,0.5447835502269573,0.35355339059327545,0.7071067811865477,False,0.7071067811865466,-0.7071067811865468,-0.7071067811865513
8141,nonane,1,0,,0.30144244921989993,6.5572,0.67871181640625,0.5161718343017063,0.0,,False,,,
8143,octylamine,1,0,,0.3123344127171033,6.693,0.5823578699340244,0.49219090907458884,0.0,,False,,,
8160,2-butoxyethanol acetate,1,0,,0.27229908743008535,6.8100000000000005,0.7585232432432433,0.6906494295076273,0.0,,False,,,
8163,2-undecanone,1,0,,0.31645569620253167,6.0175,0.6565042790697674,0.5486306336395518,0.0,,False,,,
8174,1-decanol,1,0,,0.31115690314983807,11.362,0.510280141911069,0.4540473621375077,0.0,,False,,,
8175,decanal,2,1,0,0.22549308213129232,7.4352,0.8477486945169714,1.0221396644269811,1.7677669529663707,3.5355339059327378,False,0.7071067811865487,0.7071067811865476,-0.7071067811865487
8182,dodecane,1,0,,0.28701795702090077,7.5911,0.6170875897435897,0.6023610239032572,0.0,,False,,,
8184,1-undecanol,1,0,,0.3344127171033265,7.7739,0.48696637323943665,0.4774649064563908,0.0,,False,,,
8194,dodecanal,1,0,,0.2970267883426553,5.928000000000001,0.6782149554013875,0.6331060126012831,0.0,,False,,,
8205,lauryl acetate,1,0,,0.2587577274065352,9.4788,0.8204436860068259,0.7166904138371547,0.0,,False,,,
8257,2-methyl-3-buten-2-ol,1,0,,0.31439505445981747,6.971500000000001,0.7213562734082397,0.5745979620275923,0.0,,False,,,
8369,maltol,1,0,,0.3152781866352664,16.2421,0.5560682539682539,0.6269217030208903,0.0,,False,,,
8615,phenethyl anthranilate,1,0,,0.2937886370326759,10.0648,0.5961868737474949,0.6491645783756854,0.0,,False,,,
8635,methyl anthranilate,2,0,1,0.30644686488077716,6.416,0.4980600768491835,0.4495874562901019,0.3535533905932737,0.7071067811865474,False,0.7071067811865475,-0.7071067811865476,-0.7071067811865476
8658,o-anisaldehyde,1,0,,0.27259346482190167,8.4228,0.6344016198704104,0.6004569845090956,0.0,,False,,,
8842,beta-citronellol,1,0,,0.31410067706800116,7.013,0.4870080506091847,0.3987834611736871,0.0,,False,,,
8857,ethyl acetate,2,0,1,0.3314689431851634,8.7372,0.41698250444049734,0.4130171880713872,0.35355339059327473,0.7071067811865474,False,0.7071067811865482,-0.7071067811865472,-0.7071067811865475
8858,4-methyl-3-penten-2-one,1,0,,0.29231675007359437,6.380000000000001,0.7901409869083584,0.5958723244548207,0.0,,False,,,
8892,caproic acid,2,0,1,0.28171916396820723,12.3849,0.6340359456635319,0.560741583505985,1.0606601717799538,2.121320343559643,False,0.7071067811866809,0.7071067811865475,0.7071067811865495
8900,heptane,6,2,"0,1,3,4,5",0.3049749779216956,7.935,0.734340723938224,0.49422163624763205,1.4758070818337963,0.22850832107530872,True,1.2352933096376237,-0.18212220383188749,-0.84527195205612
8902,dipropylamine,1,0,,0.30615248748896084,6.497999999999999,0.6844602788461539,0.606387512175604,0.0,,False,,,
8908,hexyl acetate,1,0,,0.2990874300853694,7.473199999999999,0.6542294291338583,0.4996985608569518,0.0,,False,,,
8914,1-nonanol,1,0,,0.30939063879894024,6.107,0.5305472882968602,0.47083713636639235,0.0,,False,,,
9007,3-methoxyphenol,1,0,,0.3182219605534295,7.843,0.5482029047178538,0.4814220154632432,0.0,,False,,,
9233,norbornane,1,0,,0.30468060052987933,9.642,0.6358292753623188,0.4458892993518455,0.0,,False,,,
9234,7-oxabicyclo[2.2.1]heptane,1,0,,0.2840741831027377,7.1579999999999995,0.7563392227979274,0.6214768161713382,0.0,,False,,,
9266,cyclooctane,1,0,,0.28848984397998234,6.309699999999999,0.7687458163265306,0.5335918529967804,0.0,,False,,,
10263,"1,2,3,4-tetramethylbenzene",1,0,,0.3529584927877539,7.298,0.622472210175146,0.4700567447646984,0.0,,False,,,
10345,norcamphor,1,0,,0.2861348248454519,7.838000000000001,0.6726507818930042,0.540154558982057,0.0,,False,,,
10405,5-nonanone,1,0,,0.3291139240506329,6.338,0.6298122808586762,0.48466313117640875,0.0,,False,,,
10686,"1,2,3-trimethylbenzene",1,0,,0.27465410656461586,7.333,0.7267374490889603,0.6044103651001017,0.0,,False,,,
10722,o-tolualdehyde,1,0,,0.29202237268177805,8.073,0.7128976814516129,0.5907136424455061,0.0,,False,,,
10882,ethyl valerate,2,1,0,0.2796585222254931,6.4998000000000005,0.7001347368421053,0.5703017454624897,1.7677669529663662,3.5355339059327373,False,0.7071067811865447,0.7071067811865476,-0.7071067811865481
10953,delta-valerolactone,1,0,,0.2893729761554313,7.958,0.6250464292980672,0.6116132001952451,0.0,,False,,,
10976,2-heptanol,2,1,0,0.3220488666470415,5.8431999999999995,0.7532705667276051,0.5601746846509671,0.3535533905932737,0.7071067811865474,False,0.7071067811865475,-0.7071067811865476,-0.7071067811865476
11005,myrisitic acid,1,0,,0.3344127171033265,10.115,0.5502492605633802,0.5970198214570916,0.0,,False,,,
11006,hexadecane,1,0,,0.26817780394465707,8.1918,0.7240556531284303,0.6428799441573563,0.0,,False,,,
11040,methyl lactate,1,0,,0.3199882249043273,6.5855999999999995,0.5858932842686292,0.54534344846255,0.0,,False,,,
11173,3-methyl-2-buten-1-ol,1,0,,0.26582278481012656,5.92,0.8022812846068661,0.6987811731625688,0.0,,False,,,
11509,3-hexanone,2,0,1,0.3079187518398587,5.721,0.7038281070745697,0.48140166994860334,1.7677669529663684,3.5355339059327373,False,0.7071067811865475,0.7071067811865476,-0.707106781186547
11513,4-heptanol,1,0,,0.3055637327053282,5.6098,0.7968188824662813,0.6444531248919129,0.0,,False,,,
11520,3-heptanol,1,0,,0.2946717692081248,4.9552,0.8007623376623376,0.611726578859254,0.0,,False,,,
11529,butyl propionate,1,0,,0.2802472770091257,6.6251999999999995,0.7626384453781513,0.5864342162353189,0.0,,False,,,
11559,alpha-angelica lactone,1,0,,0.3070356196644098,11.6898,0.6612698945349953,0.6082882974886481,0.0,,False,,,
11569,m-anisaldehyde,2,0,1,0.29584927877539,9.1984,0.5891792039800995,0.5657524310765426,0.3535533905932743,0.7071067811865476,False,-0.7071067811865475,0.707106781186548,-0.7071067811865475
11579,levulinic acid,1,0,,0.34118339711510154,9.44,0.48861723899913717,0.4388209256628773,0.0,,False,,,
11583,2-hexanone,6,2,"0,1,3,4,5",0.33676773623785694,12.4088,0.571601486013986,0.5059939947260647,4.777688383338907,4.928425060575325,False,1.8985876203836827,2.0078936789715565,-1.7424141679673353
11617,diallyl sulfide,1,0,,0.28907859876361497,7.895,0.7029911914460285,0.6520164888696827,0.0,,False,,,
11622,2-tridecanone,1,0,,0.34059464233146897,10.103,0.5398651685393259,0.5102922529651097,0.0,,False,,,
12105,m-tolualdehyde,1,0,,0.29997056226081836,5.186,0.6171987242394505,0.4857462527662856,0.0,,False,,,
12202,5-nonanol,1,0,,0.3073299970562261,5.5855,0.6398774904214559,0.524760500891598,0.0,,False,,,
12206,methyl valerate,4,0,"1,2,3",0.3326464527524286,11.6784,0.5603269026548673,0.5372265349390505,2.7991769172767174,1.5506068089684613,False,1.085530143199706,1.3120894390018356,-0.8031146701503509
12216,3-nonanol,1,0,,0.3052693553135119,6.888199999999999,0.6090073288331725,0.5168973574260948,0.0,,False,,,
12243,2-methyl-2-pentene,1,0,,0.2705328230791875,6.12,0.7859085963003264,0.6144004715286913,0.0,,False,,,
12296,4-methyl-1-pentanol,1,0,,0.3035030909626141,9.01,0.7470029097963142,0.639666225245598,0.0,,False,,,
